city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
609924,Emba,81,KZ,1579897089,97,48.83,58.14,-14.73,4.18
2173911,Broken Hill,0,AU,1579897089,38,-31.95,141.43,16,4.68
1861416,Ishigaki,35,JP,1579897089,79,24.34,124.16,22.59,5.65
2181625,Te Anau,100,NZ,1579897051,98,-45.42,167.72,14.69,0.53
1494482,Polunochnoye,93,RU,1579897090,87,60.87,60.42,-16.13,1.67
2109528,Buala,51,SB,1579896950,76,-8.14,159.59,27.89,2.86
3356832,Henties Bay,0,NA,1579897090,91,-22.12,14.28,19.44,0.89
3839307,Rawson,100,AR,1579896829,43,-43.3,-65.1,23.3,7.24
3372472,Vila Franca do Campo,75,PT,1579897092,76,37.72,-25.43,13,3.1
3110643,Sant Feliu de Guixols,13,ES,1579897092,93,41.78,3.03,11.11,1.5
2121025,Srednekolymsk,100,RU,1579897092,96,67.45,153.68,-36.7,2.3
4013039,Concepcion del Oro,0,MX,1579897092,31,24.63,-101.42,17,4.95
778707,Mehamn,92,NO,1579897092,79,71.04,27.85,-5,4.6
3372760,Praia da Vitoria,75,PT,1579897092,82,38.73,-27.07,13,2.47
5563397,Eureka,1,US,1579897093,67,40.8,-124.16,16.11,1.5
2173125,Burnie,99,AU,1579897093,94,-41.07,145.92,17.22,0.89
3932145,Pisco,75,PE,1579897093,30,-13.7,-76.22,22,5.1
1738050,Marabu,75,MY,1579897094,100,4.41,114.01,25,1
3354071,Oranjemund,1,NA,1579897094,80,-28.55,16.43,19.29,0.78
337405,Gambela,52,ET,1579897094,22,8.25,34.58,25.6,1.37
3448597,Sao Lourenco do Oeste,0,BR,1579897095,41,-26.36,-52.85,28.33,2.93
3405215,Bonfim,100,BR,1579897095,31,3.08,-59.95,35.57,4.64
3698359,Chicama,40,PE,1579897095,65,-7.84,-79.15,27,6.2
1519395,Serebryansk,40,KZ,1579897095,55,49.69,83.29,1,5
1791779,Wanning,96,CN,1579897095,85,18.8,110.4,21.46,2.8
1862555,Hirado,100,JP,1579897095,76,33.36,129.55,13,4.1
5012495,Traverse City,90,US,1579897002,86,44.76,-85.62,4,3.1
3381428,Iracoubo,56,GF,1579897096,81,5.48,-53.2,26.18,5.85
286987,Nizwa,74,OM,1579896982,64,22.93,57.53,17.75,0.95
3695465,Huallanca,100,PE,1579897096,90,-9.9,-76.94,6.34,3.24
2381334,Atar,100,MR,1579897096,17,20.52,-13.05,23.77,3.09
1061335,Mananjary,100,MG,1579897096,79,-21.22,48.33,25.48,4.25
2516474,Icod de los Vinos,75,ES,1579897096,87,28.37,-16.71,18.33,3.1
2122574,Ola,0,RU,1579897096,73,59.58,151.28,-30.64,4.08
1276574,Bela,2,IN,1579897097,77,25.93,81.98,10.29,1.62
1634614,Nabire,100,ID,1579897097,96,-3.37,135.48,22.7,0.78
2126123,Chokurdakh,0,RU,1579896868,93,70.63,147.92,-37.26,1.85
1160571,Khash,51,IR,1579897097,96,28.22,61.22,9.35,4.34
257122,Methoni,47,GR,1579897098,86,36.82,21.7,10.56,1.18
2208248,Kaitangata,100,NZ,1579896853,68,-46.28,169.85,20.56,6.42
3991350,Puerto Palomas,1,MX,1579897098,30,31.77,-107.62,14,1.88
677150,Giubega,0,RO,1579897098,73,44.12,23.42,-1.11,3.1
6690296,Saint-Joseph,100,RE,1579897098,100,-21.37,55.62,26,9.3
2126785,Belaya Gora,84,RU,1579897098,89,68.53,146.42,-36.86,0.58
1272902,Dhanwar,24,IN,1579897098,54,24.42,85.98,11.35,1.2
2708365,Halmstad,60,SE,1579897099,87,56.67,12.86,7,6.2
211647,Lodja,61,CD,1579897099,60,-3.48,23.43,22.99,0.36
1510689,Baykit,100,RU,1579897099,97,61.67,96.37,-12.72,1.04
2138555,Poum,85,NC,1579896963,75,-20.23,164.02,26.21,7.98
3418910,Upernavik,73,GL,1579897099,96,72.79,-56.15,-25.17,2.24
1282898,Pokhara,0,NP,1579897099,90,28.23,83.98,6.93,0.99
2447513,Arlit,100,NE,1579897099,8,18.74,7.39,23.55,5.24
3351014,Camacupa,100,AO,1579897099,91,-12.02,17.48,18.43,0.23
1489661,Tevriz,100,RU,1579897100,96,57.51,72.4,-13.45,1.39
3420846,Qaqortoq,75,GL,1579897100,79,60.72,-46.03,-4,12.32
3393692,Itarema,41,BR,1579896976,68,-2.92,-39.92,27.25,3.57
3421719,Narsaq,75,GL,1579896954,79,60.92,-46.05,-4,4.88
5746545,Portland,90,US,1579896883,71,45.52,-122.68,13,4.6
103630,Najran,5,SA,1579897100,38,17.49,44.13,15,3.9
4362001,Mayo,90,US,1579897101,70,38.89,-76.51,12.22,2.6
